WorkerID,StartTimeAvailable,PerformanceRating,AvailabilityTime
W0001,0.00,1.66,45.03
W0002,0.00,1.22,179.23
W0003,0.00,0.84,154.57
W0004,0.00,1.13,97.71
W0005,0.00,1.18,133.77
W0006,0.00,0.72,155.14
W0007,0.00,1.17,73.76
W0008,0.00,0.65,164.07
W0009,0.00,1.77,143.1
W0010,0.00,0.6,166.86
W0011,0.00,1.88,89.25
W0012,0.00,0.87,111.93
W0013,0.00,1.88,143.33
W0014,0.00,0.81,80.66
W0015,0.00,1.7,149.77
W0016,0.00,1.59,28.46
W0017,0.00,1.66,105.15
W0018,0.00,0.97,157.21
W0019,0.00,0.66,140.17
W0020,0.00,1.4,140.18
W0021,0.03,1.33,78.27
W0022,0.21,1.97,70.73
W0023,0.24,0.86,108.46
W0024,0.36,1.81,54.8
W0025,0.42,1.34,39.83
W0026,0.44,0.88,119.27
W0027,0.52,1.73,38.97
W0028,0.53,1.91,127.12
W0029,1.02,1.37,106.74
W0030,1.07,1.84,128.69
W0031,1.14,1.54,22.36
W0032,1.25,1.46,118.64
W0033,1.28,0.76,131.76
W0034,1.35,1.93,53.29
W0035,1.39,0.93,75.61
W0036,1.39,0.99,129.94
W0037,1.41,1.75,84.67
W0038,2.03,1.63,127.69
W0039,2.04,0.78,53.08
W0040,2.09,0.93,137.68
W0041,2.22,1.39,136.08
W0042,2.29,1.31,33.17
W0043,2.36,1.97,141.95
W0044,2.40,0.63,59.58
W0045,2.52,1.85,113.21
W0046,2.53,0.64,74.33
W0047,2.54,1.76,36.32
W0048,2.59,1.38,21.88
W0049,3.04,0.66,29.74
W0050,3.05,1.8,124.54
W0051,3.07,0.98,152.97
W0052,3.09,1.03,50.51
W0053,3.17,0.95,59.08
W0054,3.19,1.35,161.62
W0055,3.21,1.34,78.47
W0056,3.27,1.39,76.12
W0057,3.28,1.01,89.63
W0058,3.28,0.65,63.6
W0059,3.34,1.54,171.37
W0060,3.34,0.99,24.82
W0061,3.38,0.67,113.78
W0062,3.45,1.75,97.65
W0063,3.58,0.77,100.81
W0064,4.01,1.19,133.02
W0065,4.08,1.99,93.63
W0066,4.10,0.63,64.84
W0067,4.12,0.83,102.47
W0068,4.15,1.69,69.56
W0069,4.30,0.79,27.92
W0070,4.50,1.86,77.11
W0071,5.02,1.11,154.21
W0072,5.09,1.72,128.11
W0073,5.18,1.56,105.73
W0074,5.19,1.93,121.18
W0075,5.21,1.24,91.76
W0076,5.24,1.23,107.67
W0077,5.30,0.8,176.95
W0078,5.31,1.13,105.28
W0079,5.33,0.87,32.58
W0080,5.40,1.47,50.39
W0081,5.40,1.62,43.94
W0082,5.41,1.81,104.67
W0083,5.50,0.71,176.51
W0084,5.59,1.02,90.97
W0085,6.04,0.83,35.07
W0086,6.08,1.8,98.05
W0087,6.19,1.48,35.94
W0088,6.21,1.31,166.5
W0089,6.22,0.66,149.33
W0090,6.33,1.38,170.9
W0091,6.35,1.27,79.95
W0092,6.36,1.52,164.95
W0093,6.39,1.27,68.64
W0094,6.40,1.65,83.1
W0095,6.45,1.9,90.38
W0096,7.04,1.72,48.93
W0097,7.07,0.84,61.7
W0098,7.13,1.08,150.23
W0099,7.17,1.46,68.51
W0100,7.27,1.9,61.61
W0101,7.30,1.83,89.73
W0102,7.40,1.62,22.57
W0103,7.43,1.82,32.61
W0104,7.54,1.49,153.52
W0105,7.59,1.03,112.84
W0106,8.00,1.29,129.71
W0107,8.01,1.19,34.65
W0108,8.14,0.71,24.34
W0109,8.31,0.97,77.21
W0110,8.44,1.35,124.76
W0111,8.44,1.6,163.62
W0112,8.49,1.21,51.06
W0113,8.52,1.82,61.45
W0114,9.02,1.25,73.47
W0115,9.06,1.91,33.39
W0116,9.08,1.01,150.8
