WorkerID,StartTimeAvailable,PerformanceRating,AvailabilityTime
W0001,0.03,1.75,155.37
W0002,0.09,1.05,123.71
W0003,0.19,1.4,115.27
W0004,0.22,0.65,33.98
W0005,0.24,0.93,113.33
W0006,0.24,1.13,172.26
W0007,0.25,1.66,52.34
W0008,0.32,1.38,49.53
W0009,0.36,0.67,109.45
W0010,0.47,0.94,97.08
W0011,0.50,1.26,65.3
W0012,0.58,1.72,137.52
W0013,0.59,0.82,137.92
W0014,0.59,1.07,85.13
W0015,1.02,1.44,107.17
W0016,1.04,1.24,23.23
W0017,1.05,1.92,59.02
W0018,1.11,1.5,124.65
W0019,1.14,0.9,87.46
W0020,1.16,1.52,51.76
W0021,1.20,1.16,142.48
W0022,1.30,0.65,79.46
W0023,1.32,0.7,117.66
W0024,1.33,1.19,128.32
W0025,1.34,1.41,120.64
W0026,1.35,1.44,117.99
W0027,1.40,1.33,39.75
W0028,1.41,0.99,108.75
W0029,1.51,0.68,110.03
W0030,1.51,0.95,85.63
W0031,1.52,0.61,37.25
W0032,1.54,1.99,66.86
W0033,1.59,1.98,120.58
W0034,2.00,1.07,73.93
W0035,2.03,1.2,73.7
W0036,2.04,1.04,57.18
W0037,2.09,1.28,148.06
W0038,2.17,0.61,20.76
W0039,2.20,1.38,82.17
W0040,2.22,1.28,22.59
W0041,2.24,0.94,77.99
W0042,2.28,0.61,168.33
W0043,2.30,1.47,145.43
W0044,2.31,1.63,89.41
W0045,2.39,1.18,35.09
W0046,2.40,1.96,92.58
W0047,2.40,0.93,25.52
W0048,2.58,1.66,143.32
W0049,2.59,1.04,77.81
W0050,3.00,1.65,95.38
W0051,3.10,1.56,41.52
W0052,3.15,1.04,159.55
W0053,3.16,1.98,80.55
W0054,3.19,1.42,131.36
W0055,3.22,1.66,100.02
W0056,3.26,1.27,133.13
W0057,3.27,0.91,24.3
W0058,3.28,0.86,71.55
W0059,3.29,0.99,85.03
W0060,3.35,0.84,100.17
W0061,3.36,1.83,45.06
W0062,3.45,1.19,51.48
W0063,3.50,1.07,119.9
W0064,3.56,1.58,56.03
W0065,4.01,1.98,67.03
W0066,4.05,0.93,151.28
W0067,4.07,1.58,95.56
W0068,4.08,1.58,176.43
W0069,4.18,1.8,69.57
W0070,4.24,1.8,53.2
W0071,4.33,1.07,63.42
W0072,4.50,0.87,70.75
W0073,5.00,1.27,128.25
W0074,5.13,0.7,132.04
W0075,5.14,0.81,115.96
W0076,5.21,1.72,58.78
W0077,5.25,1.32,159.91
W0078,5.27,1.02,94.4
W0079,5.27,1.55,36.19
W0080,5.32,1.91,45.79
W0081,5.35,1.47,99.68
W0082,5.36,1.03,55.07
W0083,5.40,1.51,104.13
W0084,5.42,1.91,64.95
W0085,5.43,1.05,173.95
W0086,5.54,0.87,81.31
W0087,6.12,1.36,76.62
W0088,6.13,1.11,156.63
W0089,6.35,1.14,150.18
W0090,6.38,0.88,66.98
W0091,6.51,0.84,92.36
W0092,7.07,1.91,125.98
W0093,7.10,1.71,78.46
W0094,7.26,0.99,67.83
W0095,7.27,1.85,70.74
W0096,7.30,1.76,83.98
W0097,7.36,1.05,116.73
W0098,7.43,1.95,138.93
W0099,7.44,0.76,113.91
W0100,7.45,1.0,74.46
W0101,7.48,1.03,60.31
W0102,7.51,1.45,25.66
W0103,7.53,1.59,60.2
W0104,7.59,0.82,38.18
W0105,7.59,1.63,53.44
W0106,8.06,0.69,137.26
W0107,8.06,1.43,160.61
W0108,8.10,1.17,39.32
W0109,8.13,1.88,143.06
W0110,8.15,1.38,118.32
W0111,8.18,1.37,63.62
W0112,8.24,1.64,98.24
W0113,8.26,0.82,85.0
W0114,8.38,1.31,144.23
W0115,8.42,1.89,70.61
